attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
25,38,36,25,32,48,46,31,36,75,50,34,35,100,100,33,26,79,100,25,a11
26,43,38,25,34,90,49,33,38,100,100,36,37,100,100,35,28,87,100,26,a11
29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,a11
29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,a11
27,48,35,26,41,100,67,37,47,100,100,44,56,88,100,52,100,84,100,100,a11
27,48,43,26,41,100,100,38,48,100,100,45,58,90,100,54,100,100,100,100,a11
29,39,40,29,37,52,52,36,43,100,100,41,47,87,96,45,79,78,71,57,a11
29,39,39,28,37,58,68,36,43,100,100,41,48,89,100,46,100,89,76,63,a11
29,37,35,28,38,75,49,35,43,100,100,41,49,83,87,46,100,61,92,66,a11
29,36,35,28,37,51,50,36,42,100,100,41,48,88,100,47,100,64,98,90,a11
29,37,35,28,38,75,49,35,43,100,100,41,49,83,87,46,100,61,92,66,a11
29,36,35,28,37,51,50,36,42,100,100,41,48,88,100,47,100,64,98,90,a11
29,36,39,28,37,51,53,37,43,100,100,43,49,86,88,48,90,67,89,64,a11
29,37,40,28,37,52,75,37,43,100,100,43,49,89,100,48,100,78,100,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
28,100,90,28,40,100,100,38,46,100,100,44,100,100,100,49,100,56,59,100,a11
28,100,90,28,40,100,100,38,46,100,100,44,100,100,100,49,100,56,59,100,a11
30,100,33,25,40,100,44,31,45,100,50,35,49,77,100,35,100,59,70,28,a11
30,100,36,27,40,100,49,34,45,100,100,38,49,100,100,40,100,61,71,35,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,47,39,28,39,100,100,37,44,100,100,42,49,75,76,46,100,58,59,100,a11
31,75,41,29,40,100,100,37,45,100,100,42,50,76,77,46,100,59,60,100,a11
29,47,39,28,39,100,100,36,44,100,100,41,48,75,76,45,100,59,60,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
28,34,33,27,37,68,49,35,43,100,100,41,49,86,100,46,100,58,100,66,a11
28,35,33,27,37,100,49,35,43,100,100,41,49,89,100,46,100,64,100,76,a11
29,38,37,29,38,100,51,36,44,100,100,42,49,85,87,46,62,68,80,59,a11
29,40,38,29,38,100,52,37,44,100,100,43,49,86,88,48,90,71,86,64,a11
30,100,31,24,39,100,41,29,45,100,46,32,49,88,50,31,61,69,75,23,a11
29,100,31,24,39,100,42,29,45,100,47,32,49,90,51,31,100,70,100,23,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
29,39,37,28,38,100,50,36,43,100,100,42,49,88,91,46,90,72,95,61,a11
29,38,35,28,38,100,49,36,44,100,100,41,50,89,100,46,100,67,100,63,a11
30,51,42,29,39,100,100,37,44,100,100,42,49,100,100,46,100,60,61,100,a11
29,100,64,28,41,100,100,38,47,100,100,44,100,100,100,49,100,70,100,100,a11
31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,a11
31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,a11
37,100,29,22,48,100,40,28,50,100,44,30,53,100,46,29,100,100,46,22,a11
37,100,30,23,48,100,41,28,51,100,45,31,53,100,47,29,100,100,65,22,a11
29,44,41,28,38,100,100,37,43,100,100,42,48,100,100,46,100,59,59,100,a11
29,100,90,29,41,100,100,39,46,100,100,45,90,100,100,49,100,59,61,100,a11
29,100,36,26,39,100,49,33,44,100,100,38,47,100,100,39,100,61,67,32,a11
30,100,39,26,40,100,68,34,45,100,100,38,48,100,100,39,100,64,100,33,a11
30,41,51,25,39,100,100,34,44,100,100,37,50,100,100,36,100,60,100,27,a11
31,42,100,27,39,100,100,36,45,100,100,38,50,100,100,38,100,62,100,30,a11
30,37,100,29,37,50,100,39,43,100,100,43,49,100,100,44,100,58,63,41,a11
30,38,100,31,38,50,100,41,43,100,100,44,49,100,100,46,100,60,64,48,a11
30,42,38,29,39,100,54,37,45,100,100,43,51,83,87,48,100,62,100,100,a11
28,38,34,27,38,100,100,36,45,100,100,43,52,83,100,49,100,56,100,100,a11
29,38,38,29,37,52,51,36,43,100,100,42,48,91,100,47,65,78,100,63,a11
29,38,38,29,38,52,52,37,43,100,100,42,49,100,100,48,67,70,100,66,a11
27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,a11
27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,a11
31,47,28,22,41,100,36,26,46,100,41,28,49,100,43,27,60,88,42,20,a11
30,100,30,24,40,100,41,29,45,100,46,32,48,100,50,31,60,77,90,23,a11
34,35,24,19,46,46,31,22,49,49,34,24,52,52,33,22,96,100,25,18,a11
34,37,24,19,46,48,31,23,49,50,34,24,53,68,33,22,100,100,24,18,a11
28,36,34,28,37,53,51,36,43,100,100,42,49,83,86,47,100,60,84,100,a11
28,35,34,27,37,100,52,36,44,100,100,42,50,85,100,48,100,58,100,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,44,40,29,39,100,90,37,45,100,100,43,51,84,87,48,100,65,96,90,a11
29,50,41,28,39,100,100,38,46,100,100,44,55,90,100,51,100,74,100,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
28,33,32,27,36,50,49,35,43,100,100,41,49,100,100,47,56,52,65,65,a11
28,33,32,27,36,90,56,35,43,100,100,41,50,100,100,48,59,52,65,65,a11
30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,a11
30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,a11
29,44,39,28,38,100,100,36,43,100,100,41,46,100,100,44,100,59,60,53,a11
30,100,53,29,39,100,100,38,45,100,100,43,49,100,100,47,100,60,61,100,a11
29,37,42,29,36,51,53,37,42,100,100,42,47,86,89,46,61,71,86,58,a11
29,38,47,30,37,58,55,38,43,100,100,44,49,86,88,48,100,69,86,64,a11
29,36,34,28,38,90,50,36,44,100,100,41,50,84,87,47,100,61,98,100,a11
28,34,33,27,37,75,50,35,44,100,100,41,50,86,100,47,100,58,100,100,a11
29,39,44,29,37,55,100,37,42,100,100,43,47,88,89,46,60,77,88,58,a11
30,45,75,30,39,100,100,39,45,100,100,45,50,88,100,49,100,70,98,90,a11
29,39,42,28,37,68,100,37,42,100,100,42,47,88,89,45,60,75,87,54,a11
29,41,47,29,37,75,100,38,42,100,100,43,46,90,91,46,62,83,96,59,a11
30,47,44,29,39,100,100,38,44,100,100,43,49,75,76,47,100,59,60,100,a11
31,100,100,30,40,100,100,39,46,100,100,45,54,79,81,49,100,62,64,100,a11
27,33,32,26,37,58,49,35,43,100,100,41,49,88,92,46,70,61,99,66,a11
27,31,31,26,36,68,50,35,43,100,100,41,50,88,93,48,65,55,65,65,a11
29,39,38,29,37,51,51,36,43,100,100,41,47,85,86,45,61,69,76,57,a11
29,39,38,28,37,52,51,36,43,100,100,41,47,87,88,45,90,74,82,60,a11
29,39,38,29,38,58,52,37,44,100,100,43,49,89,90,48,90,77,93,64,a11
29,39,38,29,38,90,54,37,44,100,100,43,49,91,96,48,100,88,100,90,a11
30,40,38,29,38,100,53,37,43,100,100,42,48,72,73,46,100,57,58,100,a11
30,55,46,29,39,100,100,38,45,100,100,43,49,100,100,48,100,60,61,100,a11
29,39,38,29,38,58,52,37,44,100,100,43,49,89,90,48,90,77,93,64,a11
29,36,34,28,37,90,51,36,44,100,100,42,50,89,100,48,100,70,100,100,a11
25,41,29,26,44,72,50,34,51,100,97,41,56,76,90,48,46,48,48,44,a11
25,41,30,26,46,100,50,34,51,100,100,41,57,78,100,49,46,48,48,44,a11
28,36,100,30,34,48,100,39,39,100,100,43,43,76,77,46,100,60,60,55,a11
28,36,100,30,34,48,100,40,39,100,100,44,46,92,77,48,100,59,59,100,a11
30,100,41,28,39,100,100,36,44,100,100,40,48,100,100,42,100,60,63,41,a11
31,100,46,28,41,100,100,37,45,100,100,41,49,100,100,43,100,62,69,44,a11
29,37,38,28,38,75,53,37,44,100,100,42,49,83,86,47,100,62,80,65,a11
29,37,38,28,38,54,68,37,43,100,100,43,49,88,100,48,90,67,100,65,a11
26,27,29,25,37,100,100,34,46,100,100,41,55,86,100,52,43,49,49,38,a11
26,29,30,26,37,100,100,34,47,100,100,42,59,89,100,56,41,48,48,36,a11
