attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
9,12,56,1,16,11,1,57,57,20,22,41,20,57,41,22,88,88,82,81,a11
16,20,57,4,20,16,5,57,58,25,24,43,25,58,43,24,90,90,83,82,a11
26,25,58,15,25,27,15,58,58,40,31,48,39,58,48,31,100,101,96,92,a11
26,25,58,15,25,27,15,58,58,40,31,48,39,58,48,31,100,101,96,92,a11
26,25,56,10,22,26,6,58,58,39,29,48,37,58,47,31,97,98,90,92,a11
31,28,58,12,25,31,11,58,58,40,32,48,39,58,47,36,99,99,95,98,a11
12,8,55,1,16,17,3,58,58,39,29,51,39,56,51,28,101,101,87,89,a11
13,10,58,1,16,19,4,58,58,39,29,51,39,58,51,28,101,100,91,91,a11
15,9,55,1,9,12,1,58,58,39,28,48,40,56,48,29,97,98,88,96,a11
11,8,61,1,10,17,1,61,61,40,30,48,39,56,48,25,98,97,95,88,a11
15,9,55,1,9,12,1,58,58,39,28,48,40,56,48,29,97,98,88,96,a11
11,8,61,1,10,17,1,61,61,40,30,48,39,56,48,25,98,97,95,88,a11
10,8,54,1,17,18,3,58,58,40,30,50,40,56,50,30,102,100,94,94,a11
11,8,58,1,17,20,7,58,58,40,31,50,40,58,50,31,102,100,97,97,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
27,25,58,15,28,30,16,58,58,40,31,48,40,58,48,31,101,100,95,94,a11
27,25,58,15,28,30,16,58,58,40,31,48,40,58,48,31,101,100,95,94,a11
27,31,56,18,5,5,0,56,57,28,24,46,38,56,51,29,98,93,73,88,a11
26,31,58,18,14,15,2,58,58,33,28,48,38,56,51,31,100,96,80,88,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
23,21,58,11,17,22,6,58,56,39,28,51,39,56,51,28,101,101,83,83,a11
24,24,58,15,20,23,10,58,58,39,30,51,40,56,51,30,103,103,85,89,a11
