att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,att_31,att_32,att_33,att_34,att_35,att_36,att_37,att_38,att_39,att_40,att_41,att_42,att_43,att_44,att_45,att_46,att_47,att_48,att_49,att_50,att_51,att_52,att_53,att_54,att_55,att_56,att_57,att_58,att_59,att_60,att_61,att_62,att_63,att_64,att_65,att_66,att_67,att_68,att_69,att_70,att_71,att_72,att_73,att_74,att_75,att_76,att_77,att_78,att_79,att_80,att_81,att_82,att_83,att_84,att_85,att_86,att_87,att_88,att_89,att_90,att_91,att_92,att_93,att_94,att_95,att_96,att_97,att_98,att_99,att_100,att_101,att_102,att_103,att_104,att_105,att_106,att_107,att_108,att_109,att_110,att_111,att_112,att_113,att_114,att_115,att_116,att_117,att_118,att_119,att_120,att_121,att_122,att_123,att_124,att_125,att_126,att_127,att_128,att_129,att_130,att_131,att_132,att_133,att_134,att_135,att_136,att_137,att_138,att_139,att_140,att_141,att_142,att_143,att_144,class
279,60,39,36,24,21,20,19,20,22,21,19,18,15,14,19,18,16,21,23,31,23,20,14,20,21,22,18,18,19,19,23,19,27,36,64,2244,2301,2411,2546,2249,2961,2610,3325,3190,2563,3744,2619,4122,4034,3666,3984,4023,3639,3750,4062,4048,4478,2932,3245,4281,4173,4062,2805,3117,2768,3532,2654,2603,2648,2537,2515,291,77,48,43,33,38,36,24,21,27,24,22,20,17,18,25,21,29,55,33,24,24,27,22,21,19,18,17,22,28,29,42,32,33,46,72,2279,2315,2314,2461,2924,2592,3151,3222,3344,2418,3281,3875,2303,3888,2348,4096,2683,2460,2640,2467,3475,3876,2466,2594,2588,3221,4142,3993,2419,3320,2660,2850,2591,2594,2444,2546,A
272,62,43,27,24,20,20,20,25,18,18,16,25,24,17,14,17,26,21,36,23,18,20,18,17,16,18,19,20,20,22,21,24,29,35,61,2179,2254,2433,2222,2192,2233,2418,2833,2924,3337,3761,2986,3644,3716,3948,2667,3782,2703,2716,3069,3826,2734,3863,3731,3665,3592,2263,3155,3317,3310,3140,2516,2396,2606,2559,2380,363,93,55,33,37,36,31,26,20,24,28,20,23,29,21,23,23,22,54,35,33,23,27,20,18,21,19,23,26,25,24,49,33,40,51,68,2208,2220,2398,2303,2242,2872,2331,2575,2531,2577,3115,2526,2189,3736,3804,2608,2623,2824,3566,2461,3756,2767,2759,4271,3842,4072,3560,2687,2887,3494,2496,2591,2745,2384,2351,2411,A
177,82,46,28,23,22,19,16,17,16,18,16,20,19,17,16,17,20,24,45,38,19,20,18,18,15,18,19,18,18,20,23,24,34,41,50,2230,2348,2421,2402,2618,2308,3174,3303,3207,3315,3651,3771,3863,3584,3719,3273,4110,2402,3431,3437,3315,3568,4156,4224,3176,2406,3721,3031,3068,3675,2563,3046,2969,2958,2723,2552,296,103,53,36,32,44,35,26,32,23,21,18,20,23,19,19,20,30,39,37,27,22,24,27,19,23,18,23,20,23,24,49,33,37,45,76,2275,2305,2339,2383,2788,2916,2789,2867,3218,2334,2285,2774,4211,2263,2358,2330,3336,3710,4348,2878,3624,3290,3098,2529,3581,3171,3936,3071,3717,3073,2835,3094,2499,2480,2483,2548,A
205,84,44,26,25,23,20,20,20,28,21,27,23,18,19,17,15,23,32,28,22,19,19,18,25,24,24,18,22,21,30,24,23,27,32,49,2175,2221,2454,2363,2740,2961,2452,3123,3401,2637,3655,3209,3278,3329,2871,2263,2273,2281,2293,2298,4194,4166,2323,2748,3814,3733,3643,3541,2631,2577,2570,2526,2480,2502,2349,2507,301,102,55,38,32,34,42,29,21,25,25,19,22,24,21,22,26,25,42,34,26,24,22,34,22,21,22,21,18,24,28,44,35,33,49,64,2207,2242,2378,2587,2702,2328,2558,2618,3175,3740,2816,2243,3183,3237,3282,3318,3058,3073,3275,3555,4280,4098,2962,2661,2447,2442,3328,3818,2340,2372,2372,2370,2537,2526,2521,2418,A
166,91,38,26,25,21,19,19,19,17,21,16,16,18,20,18,22,20,28,22,22,29,23,19,18,20,23,24,25,24,22,21,24,28,37,60,2227,2281,2430,2387,2653,2927,2265,3200,3403,2303,2309,3186,2898,2673,2704,2371,2748,2386,2723,4079,2701,2791,2786,2565,2668,2646,2628,2605,2583,2489,3235,2555,2526,2483,2374,2406,185,97,54,39,34,36,46,34,25,25,28,25,21,29,36,23,21,33,60,38,28,23,27,30,24,25,22,30,23,32,32,48,40,39,46,61,2260,2274,2370,2458,2455,3000,2345,2432,3363,2939,3133,2824,2865,3730,3795,3366,2434,3646,3823,3320,3842,2641,2634,4066,4117,4031,2592,2388,2561,2558,2543,3033,2928,2825,2530,2424,A
241,76,42,30,24,24,20,26,22,21,24,32,19,14,18,16,17,17,25,19,24,20,19,16,13,15,15,17,16,18,19,19,25,26,31,52,2140,2209,2298,2199,2480,2306,2669,2190,2558,2618,3001,3062,2248,2262,2274,2263,2861,2369,2461,2324,2330,2890,3738,3694,2383,2244,3620,3662,2975,3142,3040,2560,2414,2537,2301,2490,353,100,51,39,35,33,36,23,26,26,24,19,20,27,24,22,20,24,56,32,28,32,22,21,18,18,15,33,27,26,31,46,31,41,60,65,2180,2207,2381,2338,2552,2433,2424,2727,2580,3050,2682,2727,2171,2179,2673,4169,3717,4148,2508,3881,3005,3195,2985,3405,2228,3967,3151,2622,2591,2548,2517,2544,2913,2373,2361,2371,A
181,74,47,30,27,21,22,20,26,18,20,15,17,15,15,16,19,19,25,20,19,17,18,24,18,15,18,16,17,18,27,20,26,27,35,54,2123,2163,2177,2193,2193,2204,2183,2187,2493,2533,2596,2445,2471,2411,2429,3768,3907,2479,3869,3992,2571,2499,2223,3353,3795,2541,2728,2695,2477,2432,2426,2271,2362,2352,2314,2305,278,102,64,40,32,40,42,25,18,33,19,21,34,25,18,23,20,21,54,33,26,23,23,25,20,21,23,24,25,33,30,43,32,40,40,64,2160,2205,2244,2404,2676,2173,2197,2227,2371,2403,2366,2143,2898,2941,2973,3616,3651,2490,3293,2541,4033,4006,3683,4196,2833,2624,2602,2835,3062,2482,2660,2876,2451,2350,2312,2398,A
143,56,36,34,28,24,21,19,20,21,22,16,19,15,16,15,17,20,26,26,21,17,19,20,23,17,16,18,26,23,26,25,23,25,35,44,2222,2333,2295,2708,2832,3053,2978,3283,2274,3305,2959,3762,2304,3799,2803,2348,3772,4125,3478,3480,3861,3838,4298,4237,4164,3615,2795,2759,3616,2675,3257,2591,3025,2914,2347,2507,243,98,70,35,29,36,31,31,24,26,28,20,20,23,23,20,24,23,36,40,27,32,27,22,21,18,23,31,23,22,29,48,35,34,47,73,2255,2285,2371,2488,2533,2331,3238,2757,3287,2588,3195,2724,2845,2878,3386,3183,2374,3227,3823,4066,3348,3699,3851,3802,2606,2595,3332,2854,2869,3584,3099,2451,2596,2890,2561,2469,A
150,100,43,35,27,19,22,20,18,19,17,16,19,19,17,20,25,24,23,23,18,23,18,16,16,26,18,19,21,18,20,25,25,34,33,54,2124,2191,2212,2239,2305,2601,2270,2795,2325,2376,3031,3135,3680,3766,3811,3342,2673,2681,2645,2650,3388,3375,3353,4142,3988,3019,3157,3091,2368,2931,2836,2492,2375,2381,2586,2492,192,77,48,45,31,38,37,27,24,23,22,23,21,23,22,24,29,24,40,30,23,18,24,31,20,19,23,28,21,23,28,51,36,38,47,66,2171,2160,2212,2281,2470,2686,2754,3009,2959,3050,3716,3838,2673,2297,2308,3367,3045,3341,3747,3690,2599,3386,2309,3206,3407,3059,3802,3849,2523,2811,2481,2459,2297,2362,2489,2419,A
115,74,41,25,21,19,21,18,14,17,17,15,16,22,21,20,17,15,20,23,18,17,18,27,16,18,20,21,25,24,31,20,24,32,32,48,1307,1359,1407,1446,1333,1451,1734,1515,1366,2053,1789,1805,2014,2050,2080,2104,2122,1368,2121,1542,2100,2092,2097,2083,2064,2040,1970,1934,1886,1835,1838,1557,1521,1620,1554,1436,143,63,50,35,40,34,27,23,21,22,23,28,21,34,23,29,24,36,37,26,27,25,26,20,19,19,23,21,20,27,35,47,42,37,40,56,1347,1328,1388,1410,1602,1541,1690,1866,2179,1463,1480,1354,1324,1332,2033,2607,2291,2270,2614,2515,1727,2378,2357,2144,1452,1979,1950,2342,1866,1880,1857,1536,1822,1474,1574,1492,A
