,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class_a11,class_a12,class_a13,class_a14,class_a15,class_a16,class_a17,class_a18,class_a19,class_a20,class_a21,class_a22,class_a23,class_a24,class_a25,class_a26,class_a27,class_a28,class_a29,class_a30,class_a31,class_a32,class_a33,class_a34,class_a35,class_a36
0,25,38,36,25,32,48,46,31,36,75,50,34,35,100,100,33,26,79,100,25,25,38,36,25,32,48,46,31,36,75,50,34,35,100,100,33,26,79,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,43,38,25,34,90,49,33,38,100,100,36,37,100,100,35,28,87,100,26,26,43,38,25,34,90,49,33,38,100,100,36,37,100,100,35,28,87,100,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,29,100,56,28,39,100,100,38,45,100,100,44,54,100,100,49,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,27,48,35,26,41,100,67,37,47,100,100,44,56,88,100,52,100,84,100,100,27,48,35,26,41,100,67,37,47,100,100,44,56,88,100,52,100,84,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,48,43,26,41,100,100,38,48,100,100,45,58,90,100,54,100,100,100,100,27,48,43,26,41,100,100,38,48,100,100,45,58,90,100,54,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,29,39,40,29,37,52,52,36,43,100,100,41,47,87,96,45,79,78,71,57,29,39,40,29,37,52,52,36,43,100,100,41,47,87,96,45,79,78,71,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,29,39,39,28,37,58,68,36,43,100,100,41,48,89,100,46,100,89,76,63,29,39,39,28,37,58,68,36,43,100,100,41,48,89,100,46,100,89,76,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29,37,35,28,38,75,49,35,43,100,100,41,49,83,87,46,100,61,92,66,29,37,35,28,38,75,49,35,43,100,100,41,49,83,87,46,100,61,92,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,36,35,28,37,51,50,36,42,100,100,41,48,88,100,47,100,64,98,90,29,36,35,28,37,51,50,36,42,100,100,41,48,88,100,47,100,64,98,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
